ASIN,产品中文名,销量,销售额,订单数,日均销量,Vine赠品销量(已扣除),可售,入库中,不可售,预留,FBA总量,包装尺寸(长×宽×高cm),包装类型,单品重量(g),产品图片,销售数据截止,库存数据截止
B0FWC7WNCB,沙拉罐收纳袋,142,1118.60,139,4.73,0,678,0,1,10,689,23×16×3,,141,,2026-08-04,2026-08-06T06:00:06.596Z
B0FY2WZLGG,10PcsB硅胶嘴,268,2647.35,263,8.93,0,265,320,0,90,675,13×8×4,,145,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-01-17/4ed50a0c-f66a-48ce-b329-01e32c233539.jpg,2026-08-04,2026-08-06T06:00:06.596Z
B0FYF131Z1,2Pcs高尔夫清洁套,143,2206.62,115,4.77,0,430,299,0,73,802,20×20×4.5,,290,,2026-08-04,2026-08-06T06:00:06.596Z
B0FZSY68B2,400Pcs黄油收纳套装,41,819.59,41,1.37,0,164,30,0,8,202,26.5×26×3,,1050,,2026-08-04,2026-08-06T06:00:06.596Z
B0G2BL89SH,6PcsKee垫,248,4917.54,245,8.27,0,367,240,0,17,624,34×20×4,,530,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-01-17/b1d51c2a-e339-4961-81fb-28d5b244aa6c.jpg,2026-08-04,2026-08-06T06:00:06.596Z
B0G2BR58FK,Gra收纳包,601,9466.08,590,20.03,0,580,660,2,160,1402,24×20×4,,500,,2026-08-04,2026-08-06T06:00:06.596Z
B0G57JYVXN,3PCS盖子Takeya,249,2397.60,241,8.30,0,131,200,0,111,442,27×8×5,,210,,2026-08-04,2026-08-06T06:00:06.596Z
B0G8XXCJ2X,2pcs沙拉罐收纳袋,89,1130.13,84,2.97,0,210,180,0,27,417,23×16×5,,345,,2026-08-04,2026-08-06T06:00:06.596Z
B0G91V37GH,12pcs过滤器momcozy,132,3404.69,132,4.40,0,91,329,1,61,482,12.5×8×12.5,,190,,2026-08-04,2026-08-06T06:00:06.596Z
B0GCCRNMHK,,276,2657.34,267,9.20,0,0,312,0,87,399,20.5×12.5×0.5,,10,,2026-08-04,2026-08-06T06:00:06.596Z
B0GD6G5L61,新HB手环灰色,2,5.98,2,0.07,0,4,0,0,73,77,6×19×1,,20,,2026-08-04,2026-08-06T06:00:06.596Z
B0GKM2W6NK,,0,0.00,0,0.00,0,0,0,0,7,7,,,10,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/aa507b44-2556-4e09-bf76-88d4e716b41d/uploads/2026-01-30/47cc1a97-0851-4398-918e-bbb99a04b400.jpg,2026-08-04,2026-08-06T06:00:06.596Z
B0GTLMH86Z,新HB手环黑色,1,2.99,1,0.03,0,4,0,0,167,171,6×19×1,,20,,2026-08-04,2026-08-06T06:00:06.596Z
B0GYF5796P,,27,314.79,27,0.90,0,0,50,1,1,52,,,168.6,,2026-08-04,2026-08-06T06:00:06.596Z
B0GYF5YXXG,,23,79.92,23,0.77,0,0,120,0,0,120,20×20×5,,333,,2026-08-04,2026-08-06T06:00:06.596Z
B0GYF7WK58,,43,9.99,41,1.43,0,0,390,0,2,392,,,150,,2026-08-04,2026-08-06T06:00:06.596Z
B0GYFDQ2CG,,9,0.00,9,0.30,0,0,320,0,0,320,,,90,,2026-08-04,2026-08-06T06:00:06.596Z
B0H4Z1VCGS,,4,103.96,4,0.13,0,27,0,0,18,45,,,1000,,2026-08-04,2026-08-06T06:00:06.596Z
