ASIN,产品中文名,销量,销售额,订单数,日均销量,Vine赠品销量(已扣除),可售,入库中,不可售,预留,FBA总量,包装尺寸1(长×宽×高cm),包装尺寸2(长×宽×高cm),包装类型1,包装类型2,单品重量(g),产品图片,销售数据截止,库存数据截止
B0FL2BPTB5,TZH-6PCS玩偶支架,102,806.99,98,3.40,0,231,0,0,4,235,10×7.5×7,,,,140,,2026-08-04,2026-08-06T06:00:06.596Z
B0FL2CZBH4,TZH-12PCS玩偶支架,421,5442.81,349,14.03,0,555,199,0,95,849,14×7.5×7,,,,188.6,,2026-08-04,2026-08-06T06:00:06.596Z
B0FQNYHWP1,6PcsKpop支架,88,879.12,83,2.93,0,182,0,0,4,186,13×8×6,,,,120,,2026-08-04,2026-08-06T06:00:06.596Z
B0GWFHTRCX,,120,3142.88,119,4.00,0,4,328,0,52,384,24×15×24,,,,550,,2026-08-04,2026-08-06T06:00:06.596Z
B0GWHHR895,,16,319.84,16,0.53,1,123,60,0,15,198,23×9×4,,,,122,,2026-08-04,2026-08-06T06:00:06.596Z
B0GWHY7DZR,,41,799.60,40,1.37,0,300,40,0,22,362,23×9×4,,,,122,,2026-08-04,2026-08-06T06:00:06.596Z
B0GWMTGJ45,,2,39.98,2,0.07,0,42,0,0,1,43,23×9×4,23×9×4,,,122,,2026-08-04,2026-08-06T06:00:06.596Z
B0GWZ1JMYS,,35,699.65,35,1.17,0,83,60,0,15,158,23×9×4,,,,122,,2026-08-04,2026-08-06T06:00:06.596Z
B0GY94BD4W,,41,1013.61,41,1.37,0,18,130,0,23,171,21×21×12,,,,700,,2026-08-04,2026-08-06T06:00:06.596Z
B0GYF9RK5Y,,119,2338.83,114,3.97,0,5,310,0,64,379,25×19×10,,,,456,,2026-08-04,2026-08-06T06:00:06.596Z
B0GZW586ZF,,57,1099.45,57,1.90,20,0,250,0,1,251,1×1×1,,,,200,,2026-08-04,2026-08-06T06:00:06.596Z
B0H25MK5M8,,13,129.87,13,0.43,2,111,1,0,2,114,28×11×4,15×11×6,,,122,,2026-08-04,2026-08-06T06:00:06.596Z
B0H35Z5GV8,,167,1658.34,152,5.57,0,120,290,0,8,418,,,,,185,,2026-08-04,2026-08-06T06:00:06.596Z
B0H36KW9N8,,128,759.24,124,4.27,0,0,300,0,5,305,1×1×1,,,,100,,2026-08-04,2026-08-06T06:00:06.596Z
B0H36NTQY2,,34,588.69,34,1.13,10,96,0,0,9,105,18.5×12.5×4.2,,,,195,,2026-08-04,2026-08-06T06:00:06.596Z
B0H36VYNDC,,73,1079.28,68,2.43,0,71,292,0,4,367,5×5×44,,,,181,,2026-08-04,2026-08-06T06:00:06.596Z
B0H453GHTS,,31,619.69,31,1.03,0,0,0,0,1,1,23×9×4,,,,122,,2026-08-04,2026-08-06T06:00:06.596Z
B0H454WDFF,,13,259.87,13,0.43,0,28,0,0,0,28,23×9×4,,,,122,,2026-08-04,2026-08-06T06:00:06.596Z
B0H45JL95Q,,26,374.75,25,0.87,12,26,21,0,15,62,22×9×1.3,,,,50,,2026-08-04,2026-08-06T06:00:06.596Z
B0H4BBYVR9,,7,90.93,7,0.23,9,41,3,0,0,44,23.5×12×4,,,,230,,2026-08-04,2026-08-06T06:00:06.596Z
B0H4GMWHNQ,,169,1508.49,168,5.63,22,0,0,0,27,27,1×1×1,,,,240,,2026-08-04,2026-08-06T06:00:06.596Z
B0H4GQMV11,,40,369.63,40,1.33,14,86,0,0,10,96,16.5×8×8,,,,180,,2026-08-04,2026-08-06T06:00:06.596Z
B0H4GRQNW5,,3,50.97,3,0.10,9,37,0,0,1,38,16.5×16×8,,,,360,,2026-08-04,2026-08-06T06:00:06.596Z
B0H4GSWH3T,,1,13.99,1,0.03,6,43,0,0,0,43,16×13×8,,,,280,,2026-08-04,2026-08-06T06:00:06.596Z
B0H4GTCBH2,,4,23.97,4,0.13,5,91,0,0,1,92,14.5×8×8,,,,160,,2026-08-04,2026-08-06T06:00:06.596Z
B0H4GWDVHD,,42,399.60,42,1.40,23,27,0,0,7,34,14.5×14×8,,,,280,,2026-08-04,2026-08-06T06:00:06.596Z
B0H5Q7T54W,,1,16.99,1,0.03,10,65,4,0,0,69,,,,,460,,2026-08-04,2026-08-06T06:00:06.596Z
B0H5QCYCV4,,53,688.47,53,1.77,3,0,4,0,0,4,23.5×12×4,,,,230,,2026-08-04,2026-08-06T06:00:06.596Z
B0H5RKCN5B,,3,44.97,3,0.10,30,27,154,0,36,217,,,,,100,,2026-08-04,2026-08-06T06:00:06.596Z
B0H5W4HJGM,,42,493.62,42,1.40,8,3,2,0,6,11,23.5×12×4,,,,230,,2026-08-04,2026-08-06T06:00:06.596Z
B0H6V2TXYM,,6,89.94,6,0.20,10,54,33,0,50,137,15×9×7,,,,250,,2026-08-04,2026-08-06T06:00:06.596Z
B0H6XH6KNV,,1,16.99,1,0.03,3,25,12,0,22,59,,,,,,,2026-08-04,2026-08-06T06:00:06.596Z
B0H6XH6RLN,,0,0.00,0,0.00,7,25,12,0,19,56,,,,,,,2026-08-04,2026-08-06T06:00:06.596Z
B0H7JL7WTR,,0,0.00,0,0.00,0,0,120,0,0,120,,,,,900,,2026-08-04,2026-08-06T06:00:06.596Z
