ASIN,产品中文名,销量,销售额,订单数,日均销量,Vine赠品销量(已扣除),可售,入库中,不可售,预留,FBA总量,包装尺寸1(长×宽×高cm),包装尺寸2(长×宽×高cm),包装类型1,包装类型2,单品重量(g),产品图片,销售数据截止,库存数据截止
B0FWC7WNCB,沙拉罐收纳袋,137,1046.69,134,4.57,0,678,0,1,10,689,23×16×3,,,,141,,2026-08-05,2026-08-06T06:00:06.596Z
B0FWKCXWY6,12Pcs洗手液套装,106,1732.98,91,3.53,0,181,120,0,51,352,19×10×8,,,,331,,2026-08-05,2026-08-06T06:00:06.596Z
B0FY2WZLGG,10PcsB硅胶嘴,269,2627.37,264,8.97,0,265,320,0,90,675,13×8×4,,,,145,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-01-17/4ed50a0c-f66a-48ce-b329-01e32c233539.jpg,2026-08-05,2026-08-06T06:00:06.596Z
B0FY32B4PW,3Pcs白色O饭盒密封垫,0,0.00,0,0.00,0,0,0,0,0,0,,,,,,,2026-08-05,2026-08-06T06:00:06.596Z
B0FYF131Z1,2Pcs高尔夫清洁套,145,2222.61,117,4.83,0,430,299,0,73,802,20×20×4.5,,,,290,,2026-08-05,2026-08-06T06:00:06.596Z
B0FZSY68B2,400Pcs黄油收纳套装,40,799.60,40,1.33,0,164,30,0,8,202,26.5×26×3,,,,1050,,2026-08-05,2026-08-06T06:00:06.596Z
B0FZT4JBTF,180Pcs猫砂袋,39,739.63,38,1.30,0,51,0,0,12,63,29×16×9,,,,1999,,2026-08-05,2026-08-06T06:00:06.596Z
B0G2BL89SH,6PcsKee垫,252,4837.58,249,8.40,0,367,240,0,17,624,34×20×4,,,,530,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-01-17/b1d51c2a-e339-4961-81fb-28d5b244aa6c.jpg,2026-08-05,2026-08-06T06:00:06.596Z
B0G2BR58FK,Gra收纳包,593,9226.23,584,19.77,0,580,660,2,160,1402,24×20×4,,,,500,,2026-08-05,2026-08-06T06:00:06.596Z
B0G4ZW7HLD,Ama表带蓝色,1,3.99,1,0.03,0,0,0,0,0,0,,,,,55,,2026-08-05,2026-08-06T06:00:06.596Z
B0G5132KBX,Ama表带深蓝色,12,47.88,11,0.40,0,0,0,0,0,0,,,,,55,,2026-08-05,2026-08-06T06:00:06.596Z
B0G57JYVXN,3PCS盖子Takeya,255,2397.60,245,8.50,0,131,200,0,111,442,27×8×5,,,,210,,2026-08-05,2026-08-06T06:00:06.596Z
B0G8XXCJ2X,2pcs沙拉罐收纳袋,83,1039.20,80,2.77,0,210,180,0,27,417,23×16×5,,,,345,,2026-08-05,2026-08-06T06:00:06.596Z
B0G91V37GH,12pcs过滤器momcozy,133,3352.71,132,4.43,0,91,329,1,61,482,12.5×8×12.5,,,,190,,2026-08-05,2026-08-06T06:00:06.596Z
B0GCCRNMHK,,269,2517.48,260,8.97,0,0,312,0,87,399,20.5×12.5×0.5,,,,10,,2026-08-05,2026-08-06T06:00:06.596Z
B0GD6G5L61,新HB手环灰色,2,5.98,2,0.07,0,4,0,0,73,77,6×19×1,,,,20,,2026-08-05,2026-08-06T06:00:06.596Z
B0GGHCPDV3,一对尖头搅拌器Sunbeam,41,639.60,41,1.37,0,47,76,0,12,135,20×7×6,14×22×1,,,250,,2026-08-05,2026-08-06T06:00:06.596Z
B0GGHJCFHB,一对平头搅拌器Sunbeam,41,639.60,40,1.37,0,29,76,0,16,121,20×7×6,,,,250,,2026-08-05,2026-08-06T06:00:06.596Z
B0GGQRSCM1,轮子替换套装Samsonite,80,1308.23,79,2.67,0,58,81,0,21,160,10×10×4,,,,393,,2026-08-05,2026-08-06T06:00:06.596Z
B0GKM2W6NK,,0,0.00,0,0.00,0,0,0,0,7,7,,,,,10,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/aa507b44-2556-4e09-bf76-88d4e716b41d/uploads/2026-01-30/47cc1a97-0851-4398-918e-bbb99a04b400.jpg,2026-08-05,2026-08-06T06:00:06.596Z
B0GKM9ZFHW,,3,23.97,3,0.10,0,2,0,0,8,10,10×18×1,,,,31,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/aa507b44-2556-4e09-bf76-88d4e716b41d/uploads/2026-01-30/605b7fef-be15-4647-a3da-b6f3de669e73.jpg,2026-08-05,2026-08-06T06:00:06.596Z
B0GTLMH86Z,新HB手环黑色,1,2.99,1,0.03,0,4,0,0,167,171,6×19×1,,,,20,,2026-08-05,2026-08-06T06:00:06.596Z
B0GYF5796P,,17,149.90,17,0.57,0,0,50,1,1,52,,,,,168.6,,2026-08-05,2026-08-06T06:00:06.596Z
B0GYF5YXXG,,22,19.98,22,0.73,0,0,120,0,0,120,20×20×5,,,,333,,2026-08-05,2026-08-06T06:00:06.596Z
B0GYF7WK58,,46,9.99,44,1.53,0,0,390,0,2,392,,,,,150,,2026-08-05,2026-08-06T06:00:06.596Z
B0GYFDQ2CG,,10,0.00,10,0.33,0,0,320,0,0,320,,,,,90,,2026-08-05,2026-08-06T06:00:06.596Z
B0H4Z1VCGS,,5,129.95,5,0.17,0,27,0,0,18,45,,,,,1000,,2026-08-05,2026-08-06T06:00:06.596Z
