店铺,ASIN,产品中文名,销量,销售额,订单数,日均销量,Vine赠品销量(已扣除),可售,入库中,不可售,预留,FBA总量,包装尺寸1(长×宽×高cm),包装尺寸2(长×宽×高cm),包装类型1,包装类型2,包装成本1(CNY),包装成本2(CNY),包装备注1,包装备注2,单品重量(g),图片URL,产品图片1,产品图片2,销售数据截止,库存数据截止
TZH-主店二号,B0FG2XQ7G3,雷朋眼镜盒保护盒,0,0.00,0,0.00,0,0,0,0,3,3,,,,,,,,,150,https://m.media-amazon.com/images/I/41fJzzX5QOL.jpg,,,2026-08-14,2026-08-16T06:00:01.483Z
TZH-主店二号,B0FL2BPTB5,TZH-6PCS玩偶支架,104,830.96,103,3.47,0,204,0,0,1,205,10×7.5×7,,,,0.5,,刘师傅 特种牛卡 扣底盒,,140,https://m.media-amazon.com/images/I/319FFwQ9yTL.jpg,,,2026-08-14,2026-08-16T06:00:01.483Z
TZH-主店二号,B0FL2CZBH4,TZH-12PCS玩偶支架,450,5793.54,371,15.00,0,525,40,0,129,694,14×7.5×7,,,,0.75,,刘师傅 特种牛卡 扣底盒,,188.6,https://m.media-amazon.com/images/I/319FFwQ9yTL.jpg,,,2026-08-14,2026-08-16T06:00:01.483Z
TZH-主店二号,B0FPR3XSX2,6Pcs无线电收纳,0,0.00,0,0.00,0,0,0,0,0,0,23×15×9,,,,1.68,,蓝象牛皮https://item.taobao.com/item.htm?id=669176211019&mi_id=0000Cq-vEypmmpo4YhNtmAAm6QOxGlWncsf6Velau9iEHdU&spm=a21xtw.29178619.0.0&xxc=shop&skuId=5071526367703,,400,https://m.media-amazon.com/images/I/41HUbKSVZkL.jpg,,,2026-08-14,2026-08-16T06:00:01.483Z
TZH-主店二号,B0FQNYHWP1,6PcsKpop支架,91,899.10,84,3.03,0,152,100,1,4,257,13×8×6,,飞机盒,,0.67,,"蓝象牛皮
https://item.taobao.com/item.htm?id=668517869529&mi_id=0000Vfc3reX3N6SotHz2am8NGEaC0En5KCG92mHxPStuE8w&skuId=5068032983297&spm=tbpc.boughtlist.suborder_itemtitle.1.5fad2e8dU8ZiSE",,120,https://m.media-amazon.com/images/I/31emn58XspL.jpg,,,2026-08-14,2026-08-16T06:00:01.483Z
TZH-主店二号,B0FRG9XKP8,S油门把手,1,12.99,1,0.03,0,1,0,0,0,1,17×9×7,,,,1.12,,蓝象黄https://item.taobao.com/item.htm?id=669212123535&mi_id=0000J-eDpa7AR42N25pZ6UJwu_vAmt1Pec7k-2dqG6mxh7M&spm=tbpc.boughtlist.suborder_itemtitle.1.60c82e8d23jXep&skuId=4983857782857,,240,https://m.media-amazon.com/images/I/41RCYgYyKgL.jpg,,,2026-08-14,2026-08-16T06:00:01.483Z
TZH-主店二号,B0GTPYQY5Z,,3,11.97,3,0.10,0,1,0,0,1,2,8×18×0.5,,,,0.06,,8*18cm（内空间7*15cm）,,10,https://m.media-amazon.com/images/I/512OUzE4OzL.jpg,,,2026-08-14,2026-08-16T06:00:01.483Z
TZH-主店二号,B0GVWD8KR9,,1,5.99,1,0.03,0,1,0,0,3,4,15×8×1.7,28×7×1.8,,,0,0,"3个装
3+3装","吸管自带
1个装：84g
2个装：120g",67,https://m.media-amazon.com/images/I/31saJr94ghL.jpg,,,2026-08-14,2026-08-16T06:00:01.483Z
TZH-主店二号,B0GVWF66T8,,0,0.00,0,0.00,0,0,0,0,0,0,15×8×1.7,28×7×1.8,,,0,0,"3个装
3+3装","吸管自带
1个装：84g
2个装：120g",67,https://m.media-amazon.com/images/I/31VTdtKL-VL.jpg,,,2026-08-14,2026-08-16T06:00:01.483Z
TZH-主店二号,B0GVWKW4Y1,,0,0.00,0,0.00,0,0,0,0,0,0,15×8×1.7,28×7×1.8,,,0,0,"3个装
3+3装","吸管自带
1个装：84g
2个装：120g",67,https://m.media-amazon.com/images/I/31XXnhgwLfL.jpg,,,2026-08-14,2026-08-16T06:00:01.483Z
TZH-主店二号,B0GVWPCJRW,,1,5.99,1,0.03,0,2,0,0,2,4,15×8×1.7,28×7×1.8,,,0,0,"3个装
3+3装","吸管自带
1个装：84g
2个装：120g",67,https://m.media-amazon.com/images/I/31w3IV3V8jL.jpg,,,2026-08-14,2026-08-16T06:00:01.483Z
TZH-主店二号,B0GVWQK5BT,,0,0.00,0,0.00,0,0,0,0,0,0,15×8×1.7,28×7×1.8,,,0,0,"3个装
3+3装","吸管自带
1个装：84g
2个装：120g",67,https://m.media-amazon.com/images/I/31xGVXFGllL.jpg,,,2026-08-14,2026-08-16T06:00:01.483Z
TZH-主店二号,B0GVXGBY1W,,2,11.98,2,0.07,0,1,0,0,4,5,15×8×1.7,28×7×1.8,,,0,0,"3个装
3+3装","吸管自带
1个装：84g
2个装：120g",67,https://m.media-amazon.com/images/I/31iQPOfKJHL.jpg,,,2026-08-14,2026-08-16T06:00:01.483Z
TZH-主店二号,B0GVY49NQG,,0,0.00,0,0.00,0,2,0,0,6,8,15×8×1.7,28×7×1.8,,,0,0,"3个装
3+3装","吸管自带
1个装：84g
2个装：120g",95,https://m.media-amazon.com/images/I/31TQze95JwL.jpg,,,2026-08-14,2026-08-16T06:00:01.483Z
TZH-主店二号,B0GVY4B31K,,0,0.00,0,0.00,0,0,0,0,0,0,15×8×1.7,28×7×1.8,,,0,0,"3个装
3+3装","吸管自带
1个装：84g
2个装：120g",95,https://m.media-amazon.com/images/I/4128kMNgbPL.jpg,,,2026-08-14,2026-08-16T06:00:01.483Z
TZH-主店二号,B0GVY4DFMJ,,0,0.00,0,0.00,0,0,0,0,0,0,15×8×1.7,28×7×1.8,,,0,0,"3个装
3+3装","吸管自带
1个装：84g
2个装：120g",95,https://m.media-amazon.com/images/I/31dFWTURmRL.jpg,,,2026-08-14,2026-08-16T06:00:01.483Z
TZH-主店二号,B0GVY78V83,,0,0.00,0,0.00,0,3,0,0,6,9,15×8×1.7,28×7×1.8,,,0,0,"3个装
3+3装","吸管自带
1个装：84g
2个装：120g",95,https://m.media-amazon.com/images/I/31Rhw8tVQiL.jpg,,,2026-08-14,2026-08-16T06:00:01.483Z
TZH-主店二号,B0GVYB51LC,,0,0.00,0,0.00,0,0,0,0,0,0,15×8×1.7,28×7×1.8,,,0,0,"3个装
3+3装","吸管自带
1个装：84g
2个装：120g",95,https://m.media-amazon.com/images/I/41B9H0drThL.jpg,,,2026-08-14,2026-08-16T06:00:01.483Z
TZH-主店二号,B0GVYT1NGB,,0,0.00,0,0.00,0,1,0,0,5,6,15×8×1.7,28×7×1.8,,,0,0,"3个装
3+3装","吸管自带
1个装：84g
2个装：120g",95,https://m.media-amazon.com/images/I/41Vg1ysYlEL.jpg,,,2026-08-14,2026-08-16T06:00:01.483Z
TZH-主店二号,B0GVYTYDKY,,6,29.94,5,0.20,0,1,0,0,19,20,,,,,,,,,120,https://m.media-amazon.com/images/I/41vPGERAwTL.jpg,,,2026-08-14,2026-08-16T06:00:01.483Z
TZH-主店二号,B0GWDQVFQ2,,93,1678.27,92,3.10,0,0,184,1,17,202,19×19×11,,,,0.96,,"ARC-914SBD
https://detail.1688.com/offer/814977958807.html?spm=a360q.8274423%2Fnew.goods.productname",,340,https://m.media-amazon.com/images/I/31F-WbY9X9L.jpg,,,2026-08-14,2026-08-16T06:00:01.483Z
TZH-主店二号,B0GWFHTRCX,,156,4105.57,154,5.20,0,0,500,2,16,518,24×15×24,,瓦楞盒,,1.26,,"ARC-150SB
https://detail.1688.com/offer/816334523911.html?spm=a360q.8274423%2Fnew.goods.productname",,550,https://m.media-amazon.com/images/I/31FDnrjImKL.jpg,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-08-07/e00e8a28-8f25-448b-adc5-056522e1e41d.jpg,,2026-08-14,2026-08-16T06:00:01.483Z
TZH-主店二号,B0GWHHR895,,15,299.85,15,0.50,1,153,22,0,26,201,23×9×4,,,,0.76,,"蓝象黄
https://item.taobao.com/item.htm?id=669176211019&mi_id=0000hhhd33eoX9TrRy2_hWvjOAjzpbJbv0U5FwTKhYnrQEc&spm=tbpc.boughtlist.suborder_itemtitle.1.716d2e8doDe5ZF&skuId=4810171912505
",,122,https://m.media-amazon.com/images/I/41TBBuQsjCL.jpg,,,2026-08-14,2026-08-16T06:00:01.483Z
TZH-主店二号,B0GWHY7DZR,,35,679.66,34,1.17,0,294,0,0,42,336,23×9×4,,,,0.76,,"蓝象黄
https://item.taobao.com/item.htm?id=669176211019&mi_id=0000hhhd33eoX9TrRy2_hWvjOAjzpbJbv0U5FwTKhYnrQEc&spm=tbpc.boughtlist.suborder_itemtitle.1.716d2e8doDe5ZF&skuId=4810171912505
",,122,https://m.media-amazon.com/images/I/41XMpvUbjfL.jpg,,,2026-08-14,2026-08-16T06:00:01.483Z
TZH-主店二号,B0GWMTGJ45,,2,39.98,2,0.07,0,41,0,0,1,42,23×9×4,23×9×4,,,0.76,0.76,"蓝象黄
https://item.taobao.com/item.htm?id=669176211019&mi_id=0000hhhd33eoX9TrRy2_hWvjOAjzpbJbv0U5FwTKhYnrQEc&spm=tbpc.boughtlist.suborder_itemtitle.1.716d2e8doDe5ZF&skuId=4810171912505
","蓝象黄
https://item.taobao.com/item.htm?id=669176211019&mi_id=0000hhhd33eoX9TrRy2_hWvjOGRZ09JLC7UuT2wqutPFd_Q&spm=tbpc.boughtlist.suborder_itemtitle.1.12ff2e8dWIfsnn&skuId=4810171912505",122,https://m.media-amazon.com/images/I/41I6YzkMpjL.jpg,,,2026-08-14,2026-08-16T06:00:01.483Z
TZH-主店二号,B0GWZ1JMYS,,33,659.67,33,1.10,0,111,20,0,23,154,23×9×4,,,,0.76,,"蓝象黄
https://item.taobao.com/item.htm?id=669176211019&mi_id=0000hhhd33eoX9TrRy2_hWvjOAjzpbJbv0U5FwTKhYnrQEc&spm=tbpc.boughtlist.suborder_itemtitle.1.716d2e8doDe5ZF&skuId=4810171912505
",,122,https://m.media-amazon.com/images/I/41q+ZTYGKzL.jpg,,,2026-08-14,2026-08-16T06:00:01.483Z
TZH-主店二号,B0GXKN1R6F,,0,0.00,0,0.00,0,1,0,0,20,21,15×8×1.7,28×7×1.8,,,0,0,"3个装
3+3装","吸管自带
1个装：84g
2个装：120g",87,https://m.media-amazon.com/images/I/21KVaIoWJxL.jpg,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-04-17/3c2eed62-0463-4e11-903e-25522ee6fc30.png,,2026-08-14,2026-08-16T06:00:01.483Z
